Entity,Code,Year,oilprod_twh,oilpr_milbb
Africa,,2019,4633.442,2725552.75487
Algeria,DZA,2019,746.781,439282.72153499996
Angola,AGO,2019,801.912,471712.70532
Argentina,ARG,2019,334.797,196939.31329500003
Asia Pacific,,2019,4200.776,2471043.47036
Australia,AUS,2019,239.458,140857.57663
Azerbaijan,AZE,2019,442.665,260391.046275
Brazil,BRA,2019,1750.73,1029840.66155
Brunei,BRN,2019,68.518,40304.68573
CIS,,2019,8300.992,4882934.02912
Canada,CAN,2019,3191.336,1877255.5319599998
Chad,TCD,2019,77.369,45511.153715
China,CHN,2019,2217.887,1304638.7594450002
Colombia,COL,2019,541.731,318665.134785
Congo,COG,2019,201.7,118646.9995
Denmark,DNK,2019,58.256,34268.21816
Ecuador,ECU,2019,330.458,194386.96163000003
Egypt,EGY,2019,389.559,229152.238365
Equatorial Guinea,GNQ,2019,95.149,55969.972015
Europe,,2019,1832.245,1077790.637575
Europe (other),,2019,171.587,100933.478945
Gabon,GAB,2019,126.388,74345.84518
India,IND,2019,435.234,256019.87198999999
Indonesia,IDN,2019,443.299,260763.98726499997
Iran,IRN,2019,1867.431,1098488.274285
Iraq,IRQ,2019,2719.567,1599744.494245
Italy,ITA,2019,49.679,29222.926565
Kazakhstan,KAZ,2019,1061.521,624423.805435
Kuwait,KWT,2019,1672.324,983719.5081399999
Libya,LBY,2019,671.056,394738.62616000004
Malaysia,MYS,2019,346.375,203749.898125
Mexico,MEX,2019,1102.109,648299.087615
Middle East,,2019,16457.931,9681131.041785
Nigeria,NGA,2019,1177.611,692712.0065850001
North America,,2019,12963.66,7625678.540100001
Norway,NOR,2019,909.949,535263.850015
Oman,OMN,2019,549.533,323254.544255
Other Africa,,2019,181.38,106694.0643
Other Asia & Pacific,,2019,119.445,70261.729575
Other CIS,,2019,22.627,13309.993344999999
Other Middle East,,2019,121.189,71287.61141499999
Other S. & Cent. America,,2019,68.996,40585.86205999999
Peru,PER,2019,70.351,41382.920485
Qatar,QAT,2019,911.77,536335.02595
Romania,ROU,2019,41.417,24362.928995000002
Russia,RUS,2019,6596.241,3880139.8246350004
Saudi Arabia,SAU,2019,6462.332,3801369.86402
South & Central America,,2019,3680.94,2165257.7409
South Sudan,SSD,2019,79.333,46666.447255
Sudan,SDN,2019,58.462,34389.39457
Syria,SYR,2019,11.899,6999.408265
Thailand,THA,2019,197.705,116297.00067500002
Trinidad and Tobago,TTO,2019,42.5,24999.9875
Tunisia,TUN,2019,26.741,15729.992135
Turkmenistan,TKM,2019,145.464,85567.01604
United Arab Emirates,ARE,2019,2092.903,1231118.796205
United Kingdom,GBR,2019,601.357,353739.234895
United States,USA,2019,8670.215,5100123.9205249995
Uzbekistan,UZB,2019,32.475,19102.931625
Venezuela,VEN,2019,541.376,318456.31136
Vietnam,VNM,2019,132.857,78151.137395
World,OWID_WRL,2019,52069.986,30629388.21471
Yemen,YEM,2019,48.983,28813.515004999997
